timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708944583323,392,POST Register,201,Created,Worload Config 1-103,text,true,,901,204,1,1,https://reqres.in/api/users,392,0,0
1708944583749,101,GET Single User,200,OK,Worload Config 1-104,text,true,,1182,96,1,1,https://reqres.in/api/users/2,101,0,61
1708944583851,386,POST Register,201,Created,Worload Config 1-104,text,true,,901,204,2,2,https://reqres.in/api/users,386,0,0
1708944584237,125,GET Single User,200,OK,Worload Config 1-105,text,true,,1182,96,1,1,https://reqres.in/api/users/2,125,0,90
1708944584362,378,POST Register,201,Created,Worload Config 1-105,text,true,,901,204,2,2,https://reqres.in/api/users,378,0,0
1708944584737,91,GET Single User,200,OK,Worload Config 1-106,text,true,,1182,96,1,1,https://reqres.in/api/users/2,91,0,57
1708944584828,400,POST Register,201,Created,Worload Config 1-106,text,true,,897,204,1,1,https://reqres.in/api/users,400,0,0
1708944585238,84,GET Single User,200,OK,Worload Config 1-107,text,true,,1178,96,1,1,https://reqres.in/api/users/2,84,0,52
1708944585323,400,POST Register,201,Created,Worload Config 1-107,text,true,,897,204,1,1,https://reqres.in/api/users,400,0,0
1708944585738,90,GET Single User,200,OK,Worload Config 1-108,text,true,,1186,96,1,1,https://reqres.in/api/users/2,90,0,59
1708944585829,396,POST Register,201,Created,Worload Config 1-108,text,true,,901,204,1,1,https://reqres.in/api/users,396,0,0
1708944586239,86,GET Single User,200,OK,Worload Config 1-109,text,true,,1182,96,1,1,https://reqres.in/api/users/2,86,0,55
1708944586325,386,POST Register,201,Created,Worload Config 1-109,text,true,,901,204,1,1,https://reqres.in/api/users,386,0,0
1708944586736,104,GET Single User,200,OK,Worload Config 1-110,text,true,,1186,96,1,1,https://reqres.in/api/users/2,104,0,54
1708944586841,383,POST Register,201,Created,Worload Config 1-110,text,true,,897,204,1,1,https://reqres.in/api/users,383,0,0
1708944587238,89,GET Single User,200,OK,Worload Config 1-111,text,true,,1178,96,1,1,https://reqres.in/api/users/2,89,0,58
